Playliste-id,Kanal-id,Tidspunkt for oprettelse,Tidspunkt for opdatering,Titel,Beskrivelse,Synlighed
PLE1kbiPQQUSxY75llJzFeR43dsfCYQvWF,UCXiLoiTab6bCg2JMs-6xjaA,2018-05-04 08:23:25 UTC,2021-11-26 22:05:59 UTC,Power metal,,Offentlig

Video-id,Tidspunkt for tilføjelse
vkmlujV-TvU,2018-05-04 08:26:42 UTC
IOmMZBZGBps,2018-05-04 08:23:25 UTC
htKY2oD85rs,2018-05-04 08:27:17 UTC
GcG6xt5-iwQ,2018-05-04 08:35:41 UTC
ueiOqaSvHp0,2018-05-04 08:35:52 UTC
5ZU6eMxeltk,2018-05-04 08:38:13 UTC
fNcX4dFvcHs,2018-05-04 08:38:36 UTC
15JCb6P60Vw,2018-05-04 08:39:49 UTC
TbUAtnWwADI,2018-05-04 08:48:43 UTC
L8laWhgRRA8,2018-05-04 08:50:04 UTC
iU9YM1Lfvt8,2018-05-04 08:58:53 UTC
7GLkvCrcExU,2018-05-04 09:06:54 UTC
SBjQ9tuuTJQ,2018-05-05 19:07:01 UTC
Kb9DzH_oPFc,2018-05-05 20:44:27 UTC
AHzU-9iozmo,2018-05-05 22:08:44 UTC
c-LsgB0mAcA,2018-05-23 15:49:49 UTC
d5zLT32hVUM,2018-05-26 00:02:55 UTC
IHgFJEJgUrg,2018-06-11 10:35:17 UTC
c0SrxSMHDmE,2018-06-11 10:45:11 UTC
09y8THtoqJc,2018-06-11 11:02:45 UTC
eRqIbk9VDwo,2018-06-11 14:31:24 UTC
Hiu1hPdJk-Y,2018-06-12 12:06:50 UTC
NzWizk3e4MM,2018-06-24 11:05:08 UTC
9-SQGOYOjxs,2018-07-02 21:21:59 UTC
YGV6bCTMM5w,2018-09-03 09:24:41 UTC
uttlRqHpvNs,2018-09-03 09:27:03 UTC
MM_c_avPlx4,2018-09-03 10:06:15 UTC
lRt54xjIq7w,2018-09-03 10:06:53 UTC
fV2C9_MAJ0E,2018-09-03 10:08:33 UTC
37Rhr_mKZbU,2018-09-03 10:08:49 UTC
dv13gl0a-FA,2018-09-03 10:09:52 UTC
p32b5nNq1zw,2018-09-03 10:10:54 UTC
aUWCrCXiVpA,2018-09-03 10:11:50 UTC
kVIGju-rSho,2018-09-03 10:24:01 UTC
Em0GSw4qIFQ,2018-09-03 10:24:37 UTC
aaSdnHVXxqE,2018-09-03 10:29:05 UTC
7qrRzNidzIc,2019-03-05 04:25:01 UTC
Kb7zhunYGik,2019-03-05 04:55:28 UTC
JVNJH1ie6yk,2019-12-17 15:04:50 UTC
Yn-oemgzlEU,2020-01-07 22:09:48 UTC
u9Dg-g7t2l4,2021-09-25 09:48:47 UTC
09LTT0xwdfw,2021-09-25 09:49:00 UTC
I77mjesUbkw,2021-09-25 09:49:24 UTC
8nW-IPrzM1g,2021-09-25 09:49:37 UTC
55NJzOSuKuY,2021-09-25 09:49:54 UTC
aWxBrI0g1kE,2021-09-25 09:50:18 UTC
t4382UVl0oc,2021-09-25 09:50:28 UTC
KSGTo_laeCs,2021-09-25 09:50:41 UTC
eQji1bEXwc0,2021-09-25 09:50:52 UTC
_LypjOTTH6E,2021-09-25 09:51:02 UTC
gkhwK6Wlod8,2021-09-25 09:51:48 UTC
Auuqlcom6tM,2021-09-25 09:52:09 UTC
YV4oYkIeGJc,2021-09-25 09:52:21 UTC
TTCjPQ6UKlU,2021-09-25 09:54:16 UTC
dwxUgefMStM,2021-09-25 09:54:52 UTC
DWSlOCEzRGo,2021-09-25 09:55:10 UTC
ZVinwOpllQk,2021-09-25 09:56:43 UTC
uDDbvg0I6oI,2021-09-25 09:57:40 UTC
9cNpKRXwaj4,2021-09-25 09:57:52 UTC
6dixPDujD2g,2021-09-25 09:58:09 UTC
uUmdVqHZGFE,2021-09-25 10:00:32 UTC
5Hpa6MfcY8U,2021-09-25 10:03:16 UTC
H1AbgmnBVOw,2021-09-25 10:07:33 UTC
1K9jBL2syJ8,2021-09-25 10:08:54 UTC
o_l4Ab5FRwM,2021-09-25 10:13:47 UTC
l9VFg44H2z8,2021-09-25 10:16:54 UTC
HdnTSXUWd3E,2021-09-29 07:08:46 UTC
u_VsvZmIWxY,2021-09-29 11:18:26 UTC
FjpSm1wRuYM,2021-10-27 11:12:32 UTC
jBbFLn6llYg,2021-10-27 12:10:47 UTC
xzir1B43I3E,2021-10-27 12:13:54 UTC
vUl6hPCYAvc,2021-10-27 12:24:37 UTC
FjV8SHjHvHk,2021-10-27 13:02:34 UTC
3JwGDJ1G0g8,2021-10-27 13:12:28 UTC
3QGMCSCFoKA,2021-11-21 22:53:32 UTC
Ded35uYkrW8,2021-11-21 23:19:03 UTC
20sIhZLVJR4,2021-11-22 16:43:48 UTC
0jgrCKhxE1s,2021-11-22 17:34:27 UTC
dLbcipFIQAU,2021-11-24 12:36:19 UTC
dLbcipFIQAU,2021-11-24 12:36:29 UTC
KY8E-O7LCog,2021-11-24 14:37:39 UTC
kAFxLXqP8UM,2021-11-26 10:12:51 UTC
4X9NTz1iGv4,2021-11-26 11:18:26 UTC
nW3OG9czv8M,2021-11-26 11:21:05 UTC
chuA5H5f-8w,2021-11-26 11:25:43 UTC
MrUmJkD8h_Y,2021-11-26 18:21:03 UTC
tAGnKpE4NCI,2021-11-26 18:22:46 UTC
OcJ5h2qeI5g,2021-11-26 21:40:23 UTC
_wcQP2tGzu0,2021-11-26 22:05:30 UTC

